gourd_type,variety_name,season,avg_temperature,avg_humidity,avg_rainfall_mm,soil_moisture,fertilizer_type,fertilizer_frequency,plant_health_score,successful_pollinations,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
bitter_gourd,ampalaya_bilog,dry,29.4,64.3,4.5,75.1,organic,biweekly,5,19,40,19,0.2,3.8
sponge_gourd,patola,wet,27.7,75.5,25.8,59.7,none,biweekly,4,13,46,13,0.53,6.89
cucumber,pipino,wet,32.0,72.4,24.6,57.7,organic,biweekly,4,20,37,20,0.38,7.6
cucumber,pipino,dry,34.5,70.7,4.4,64.4,organic,monthly,5,12,35,12,0.24,2.88
sponge_gourd,patola,wet,29.9,72.5,21.9,72.8,organic,monthly,5,22,44,22,0.77,16.94
cucumber,pipino,wet,28.9,78.3,25.9,66.4,none,none,4,4,35,4,0.39,1.56
cucumber,pipino_japanese,wet,29.8,81.8,25.2,71.1,organic,biweekly,4,18,40,18,0.21,3.78
bitter_gourd,ampalaya_hybrid,wet,31.4,77.6,23.4,68.8,mixed,weekly,5,12,51,12,0.41,4.92
bottle_gourd,upo_long,wet,29.0,82.6,17.7,64.3,chemical,monthly,4,11,55,11,2.79,30.69
cucumber,pipino_japanese,dry,27.5,63.2,5.2,74.9,organic,monthly,4,18,39,18,0.27,4.86
bitter_gourd,ampalaya_bilog,dry,26.6,67.6,6.9,52.2,organic,weekly,4,20,52,20,0.34,6.8
sponge_gourd,patola,dry,30.3,66.9,4.8,59.4,mixed,none,4,10,47,10,0.45,4.5
cucumber,pipino_japanese,dry,31.1,65.6,9.9,52.6,mixed,monthly,5,18,35,18,0.18,3.24
sponge_gourd,patola_ridged,wet,31.1,79.4,13.2,67.2,mixed,monthly,4,11,42,11,0.49,5.39
cucumber,pipino_native,wet,31.6,76.4,20.1,78.5,organic,monthly,5,16,38,16,0.37,5.92
cucumber,pipino,dry,30.4,59.4,9.5,75.4,organic,weekly,4,20,36,20,0.23,4.6
cucumber,pipino,wet,26.2,73.3,26.8,55.3,none,weekly,3,7,39,7,0.16,1.12
cucumber,pipino_native,dry,28.4,70.1,9.1,50.3,none,weekly,4,9,38,9,0.39,3.51
sponge_gourd,patola_ridged,wet,28.3,86.3,25.5,50.3,none,monthly,3,7,44,7,0.75,5.25
cucumber,pipino_native,wet,29.4,87.8,10.6,63.2,chemical,monthly,4,11,42,11,0.17,1.87
bitter_gourd,ampalaya_bilog,dry,34.5,69.8,4.5,73.9,chemical,monthly,3,8,49,8,0.16,1.28
bottle_gourd,upo_smooth,wet,26.8,84.6,23.9,72.9,chemical,weekly,4,11,56,11,2.97,32.67
sponge_gourd,patola_smooth,dry,24.8,67.2,1.2,69.1,mixed,none,4,9,48,9,0.63,5.67
bitter_gourd,ampalaya_oblong,dry,26.0,55.3,0.6,51.7,organic,none,3,13,42,13,0.22,2.86
sponge_gourd,patola_ridged,dry,29.3,63.5,5.9,59.8,chemical,weekly,3,9,51,9,0.65,5.85
bitter_gourd,ampalaya_oblong,dry,24.4,69.4,4.8,76.1,none,none,4,9,51,9,0.24,2.16
bitter_gourd,ampalaya_hybrid,dry,31.0,55.3,5.5,62.5,chemical,none,4,10,47,10,0.31,3.1
bottle_gourd,upo_smooth,wet,29.1,78.3,26.0,75.3,chemical,biweekly,3,10,61,10,2.71,27.1
sponge_gourd,patola_ridged,dry,24.1,63.3,2.9,70.6,organic,monthly,3,11,47,11,0.67,7.37
bitter_gourd,ampalaya_bilog,dry,24.8,62.6,1.1,65.2,chemical,biweekly,3,10,44,10,0.46,4.6
bitter_gourd,ampalaya_bilog,dry,34.5,64.0,5.6,57.9,chemical,monthly,3,9,49,9,0.17,1.53
cucumber,pipino,dry,28.9,59.9,4.5,66.1,organic,biweekly,3,12,43,12,0.2,2.4
cucumber,pipino,dry,27.0,63.6,5.0,70.7,none,weekly,3,11,38,11,0.27,2.97
cucumber,pipino,dry,27.0,59.2,0.3,60.2,chemical,monthly,4,11,37,11,0.15,1.65
sponge_gourd,patola_ridged,dry,30.0,71.3,4.4,74.1,organic,biweekly,5,20,42,20,0.58,11.6
cucumber,pipino,dry,26.5,72.5,4.0,73.2,organic,weekly,4,17,40,17,0.36,6.12
cucumber,pipino_japanese,wet,27.4,82.8,29.9,69.1,mixed,weekly,4,13,41,13,0.28,3.64
bottle_gourd,upo_long,dry,29.8,55.0,7.9,77.4,organic,biweekly,4,15,54,15,2.97,44.55
cucumber,pipino_native,wet,26.6,83.9,16.4,65.1,mixed,weekly,4,19,34,19,0.34,6.46
bitter_gourd,ampalaya_bilog,wet,28.2,72.8,10.0,66.9,organic,monthly,4,14,51,14,0.23,3.22
cucumber,pipino,dry,32.5,60.0,7.2,55.1,none,none,3,9,38,9,0.24,2.16
cucumber,pipino_japanese,wet,29.2,76.4,29.4,63.2,organic,monthly,4,12,43,12,0.22,2.64
sponge_gourd,patola_ridged,wet,31.7,71.3,23.5,69.1,mixed,none,4,21,51,21,0.53,11.13
bottle_gourd,upo_long,dry,24.6,63.6,7.1,55.2,mixed,weekly,4,18,58,18,2.99,53.82
bitter_gourd,ampalaya_bilog,wet,31.1,83.8,17.2,75.0,chemical,monthly,3,13,48,13,0.23,2.99
bottle_gourd,upo_smooth,wet,27.6,79.7,23.2,74.5,chemical,weekly,3,9,52,9,1.15,10.35
bottle_gourd,upo_long,wet,29.0,71.7,14.6,54.7,organic,weekly,3,12,52,12,2.41,28.92
bitter_gourd,ampalaya_hybrid,wet,27.6,86.6,23.5,77.5,chemical,biweekly,3,5,46,5,0.46,2.3
cucumber,pipino_native,dry,30.9,60.0,1.0,61.5,mixed,none,4,16,36,16,0.31,4.96
cucumber,pipino,wet,31.3,84.2,11.7,62.1,none,monthly,4,12,40,12,0.18,2.16
bottle_gourd,upo_smooth,wet,29.6,78.6,26.8,55.3,organic,biweekly,4,10,55,10,3.2,32.0
bottle_gourd,upo_long,dry,24.2,66.7,2.8,62.5,organic,monthly,4,16,58,16,3.17,50.72
sponge_gourd,patola_ridged,dry,27.4,62.6,7.1,70.2,organic,biweekly,4,15,47,15,0.4,6.0
sponge_gourd,patola_ridged,dry,30.0,67.0,3.3,77.1,mixed,biweekly,4,18,44,18,0.54,9.72
cucumber,pipino_native,wet,28.2,78.2,23.5,65.3,mixed,monthly,3,14,38,14,0.2,2.8
sponge_gourd,patola,wet,31.5,75.6,22.1,62.4,organic,monthly,4,13,54,13,0.6,7.8
bitter_gourd,ampalaya_bilog,wet,29.6,79.4,26.5,75.8,none,monthly,4,9,47,9,0.48,4.32
bottle_gourd,upo_long,wet,29.7,71.6,21.7,61.8,organic,weekly,5,19,55,19,2.9,55.1
sponge_gourd,patola,wet,29.5,78.2,23.6,71.2,organic,weekly,4,13,48,13,0.56,7.28
bottle_gourd,upo_smooth,dry,25.2,60.0,0.3,73.2,none,monthly,4,11,56,11,1.86,20.46
bitter_gourd,ampalaya_bilog,wet,28.6,75.8,20.0,62.2,mixed,none,4,23,44,23,0.18,4.14
sponge_gourd,patola_ridged,dry,27.8,61.1,0.2,50.6,none,monthly,3,4,45,4,0.75,3.0
sponge_gourd,patola_ridged,dry,32.7,66.7,8.5,50.8,mixed,monthly,4,15,51,15,0.7,10.5
cucumber,pipino_japanese,dry,26.9,70.3,4.5,59.5,none,weekly,3,5,36,5,0.25,1.25
cucumber,pipino_native,wet,28.8,88.8,17.1,73.9,chemical,biweekly,3,5,43,5,0.17,0.85
bitter_gourd,ampalaya_oblong,wet,27.5,85.2,21.9,71.7,none,biweekly,4,13,47,13,0.27,3.51
cucumber,pipino,wet,27.9,78.3,19.9,78.3,mixed,biweekly,5,13,35,13,0.22,2.86
sponge_gourd,patola,dry,31.9,63.7,9.2,63.9,chemical,monthly,3,7,45,7,0.59,4.13
cucumber,pipino_japanese,wet,30.7,74.8,18.7,55.0,organic,monthly,4,16,45,16,0.27,4.32
cucumber,pipino_native,wet,29.0,80.2,23.7,75.4,mixed,weekly,4,17,38,17,0.31,5.27
sponge_gourd,patola,wet,26.0,77.5,25.6,66.6,mixed,monthly,4,6,40,6,0.37,2.22
cucumber,pipino_japanese,wet,28.3,82.3,24.4,51.7,organic,none,5,19,33,19,0.23,4.37
cucumber,pipino,dry,27.3,73.3,2.0,76.9,none,none,4,9,36,9,0.24,2.16
cucumber,pipino,dry,29.5,65.6,4.3,76.4,chemical,monthly,4,17,42,17,0.34,5.78
sponge_gourd,patola_smooth,dry,26.2,71.1,8.6,59.6,chemical,biweekly,3,11,56,11,0.74,8.14
cucumber,pipino_japanese,dry,24.0,74.6,4.2,76.0,organic,none,4,12,39,12,0.19,2.28
bottle_gourd,upo_round,dry,32.7,63.3,1.8,65.8,none,biweekly,4,8,58,8,3.42,27.36
bitter_gourd,ampalaya_bilog,wet,31.2,82.2,26.8,71.1,mixed,biweekly,4,17,49,17,0.31,5.27
cucumber,pipino_japanese,wet,29.0,71.3,16.8,50.1,mixed,weekly,4,14,42,14,0.34,4.76
cucumber,pipino_native,wet,30.5,72.7,17.5,53.5,organic,monthly,4,13,45,13,0.21,2.73
sponge_gourd,patola_smooth,wet,29.3,85.7,27.4,65.8,none,biweekly,4,10,45,10,0.58,5.8
bottle_gourd,upo_smooth,wet,29.8,76.0,24.0,59.9,none,none,2,3,57,3,2.69,8.07
sponge_gourd,patola,wet,28.8,76.9,23.0,57.8,organic,weekly,3,9,47,9,0.72,6.48
cucumber,pipino_japanese,wet,27.4,88.2,26.7,60.7,mixed,weekly,4,7,34,7,0.18,1.26
sponge_gourd,patola,dry,31.6,59.1,1.9,71.5,none,biweekly,3,8,47,8,0.32,2.56
cucumber,pipino_japanese,wet,27.5,80.8,20.5,59.2,none,monthly,4,8,44,8,0.17,1.36
cucumber,pipino_japanese,dry,33.6,66.9,4.8,68.0,organic,monthly,4,12,42,12,0.34,4.08
bottle_gourd,upo_long,dry,29.6,69.9,7.5,51.5,none,weekly,4,11,53,11,3.26,35.86
cucumber,pipino_japanese,wet,28.4,84.7,19.1,72.9,organic,none,4,10,36,10,0.35,3.5
bitter_gourd,ampalaya_hybrid,wet,27.1,74.0,17.6,78.6,mixed,biweekly,3,13,53,13,0.36,4.68
bottle_gourd,upo_round,dry,26.9,59.8,2.5,78.1,none,weekly,4,8,54,8,3.03,24.24
bitter_gourd,ampalaya_oblong,wet,31.9,72.8,26.6,53.5,organic,weekly,4,15,43,15,0.31,4.65
bitter_gourd,ampalaya_hybrid,wet,26.1,72.6,12.4,59.3,none,monthly,4,10,44,10,0.27,2.7
cucumber,pipino,dry,33.3,56.4,8.3,63.0,organic,weekly,4,13,37,13,0.33,4.29
bitter_gourd,ampalaya_hybrid,wet,31.5,77.5,12.5,68.4,organic,biweekly,3,14,47,14,0.4,5.6
bitter_gourd,ampalaya_hybrid,wet,29.8,73.3,15.8,71.9,none,biweekly,2,4,52,4,0.18,0.72
sponge_gourd,patola,dry,26.6,68.8,1.6,71.3,mixed,monthly,4,15,46,15,0.73,10.95
cucumber,pipino_native,wet,28.2,87.7,23.2,78.8,chemical,none,4,12,36,12,0.24,2.88
bottle_gourd,upo_smooth,dry,34.2,69.8,3.0,62.5,chemical,monthly,3,11,62,11,2.21,24.31
cucumber,pipino_native,wet,28.3,72.2,26.4,65.6,organic,none,5,24,34,24,0.23,5.52
sponge_gourd,patola_smooth,wet,30.6,72.3,19.4,63.5,chemical,weekly,3,14,48,14,0.77,10.78
cucumber,pipino,dry,33.5,67.6,5.9,65.0,mixed,weekly,4,12,40,12,0.21,2.52
cucumber,pipino_native,dry,31.6,56.6,9.5,53.4,none,none,3,4,35,4,0.18,0.72
sponge_gourd,patola_smooth,wet,30.4,74.1,23.8,65.1,none,none,3,6,50,6,0.63,3.78
sponge_gourd,patola_ridged,dry,32.4,62.7,5.5,51.6,chemical,biweekly,3,13,47,13,0.7,9.1
bottle_gourd,upo_round,dry,25.1,64.2,8.6,51.6,chemical,weekly,3,10,52,10,1.12,11.2
bitter_gourd,ampalaya_oblong,wet,30.0,75.5,15.1,65.5,chemical,none,4,11,48,11,0.4,4.4
sponge_gourd,patola_ridged,dry,31.4,58.1,2.2,57.5,none,none,4,10,46,10,0.35,3.5
sponge_gourd,patola_ridged,dry,34.3,64.8,0.5,57.9,chemical,none,3,7,49,7,0.75,5.25
cucumber,pipino_native,dry,29.1,64.1,8.7,57.2,organic,none,4,12,41,12,0.26,3.12
cucumber,pipino_native,wet,31.6,85.5,29.6,62.0,organic,weekly,4,18,43,18,0.35,6.3
bitter_gourd,ampalaya_oblong,dry,27.4,68.2,1.4,74.7,organic,none,5,19,50,19,0.17,3.23
cucumber,pipino_japanese,dry,34.7,58.2,4.5,69.8,mixed,biweekly,5,11,37,11,0.31,3.41
bottle_gourd,upo_long,dry,28.0,69.7,5.8,51.8,none,monthly,4,14,60,14,1.23,17.22
bottle_gourd,upo_round,wet,27.4,86.2,23.3,61.0,none,monthly,4,13,56,13,2.29,29.77
sponge_gourd,patola,wet,27.5,84.8,13.0,77.8,none,biweekly,3,13,46,13,0.41,5.33
sponge_gourd,patola,wet,28.7,86.4,21.7,66.1,mixed,biweekly,4,14,46,14,0.77,10.78
bottle_gourd,upo_round,wet,30.4,71.4,29.5,78.9,chemical,monthly,3,11,56,11,3.06,33.66
bitter_gourd,ampalaya_oblong,wet,29.2,74.2,13.7,66.3,mixed,biweekly,4,15,49,15,0.2,3.0
bitter_gourd,ampalaya_hybrid,dry,34.0,60.4,7.1,53.9,mixed,biweekly,4,9,47,9,0.38,3.42
cucumber,pipino,dry,32.4,72.3,0.3,51.8,organic,weekly,4,10,40,10,0.18,1.8
bottle_gourd,upo_long,wet,27.8,85.7,27.3,60.0,chemical,biweekly,3,12,63,12,2.57,30.84
bitter_gourd,ampalaya_bilog,wet,29.3,75.0,10.7,62.9,organic,none,5,27,48,27,0.24,6.48
bottle_gourd,upo_smooth,dry,29.1,58.1,8.5,75.3,none,monthly,3,9,52,9,1.88,16.92
bitter_gourd,ampalaya_bilog,dry,25.5,66.7,1.0,76.4,none,biweekly,3,6,54,6,0.26,1.56
bitter_gourd,ampalaya_oblong,wet,30.8,70.6,22.5,74.3,mixed,none,4,12,52,12,0.33,3.96
sponge_gourd,patola_ridged,dry,29.0,57.7,0.5,57.0,none,monthly,4,11,47,11,0.65,7.15
bottle_gourd,upo_smooth,wet,28.1,70.3,10.8,61.3,chemical,monthly,3,7,52,7,2.31,16.17
cucumber,pipino_japanese,wet,28.0,76.5,14.1,66.1,chemical,none,3,10,40,10,0.22,2.2
cucumber,pipino_japanese,wet,31.9,77.9,11.8,59.3,chemical,monthly,4,7,34,7,0.35,2.45
cucumber,pipino_japanese,dry,24.7,56.7,8.7,67.3,none,monthly,3,11,43,11,0.4,4.4
