gourd_type,variety_name,season,avg_temperature,avg_humidity,sunlight_hours,soil_moisture,fertilizer_type,plant_health_score,vine_length_cm,leaf_count,male_flower_count,female_flower_count,is_hand_pollinated,pollinated_count,successful_pollinations,pollination_success_rate
sponge_gourd,patola,wet,29.2,89.6,5.1,57.5,none,4,705.3,100,63,22,0,21,11,0.432
squash,kalabasa,dry,27.5,69.8,8.6,62.8,none,4,585.8,86,37,13,0,10,3,0.385
squash,kalabasa,dry,25.5,73.8,8.6,54.4,mixed,5,1110.9,100,96,30,1,29,20,0.705
bottle_gourd,upo_long,wet,31.2,89.3,5.1,68.5,mixed,4,310.5,49,17,5,1,1,1,0.528
bottle_gourd,upo_long,dry,29.5,74.6,8.3,65.2,mixed,4,649.5,100,52,16,0,13,5,0.479
squash,kalabasa_hybrid,wet,29.3,72.1,4.3,56.5,mixed,4,314.8,50,14,4,1,1,1,0.652
bottle_gourd,upo_smooth,dry,33.0,57.6,9.8,65.9,chemical,3,713.5,100,55,20,1,18,9,0.479
cucumber,pipino_japanese,wet,28.6,76.2,4.4,56.1,mixed,5,510.7,82,53,23,0,22,10,0.533
cucumber,pipino,dry,30.7,71.9,8.2,54.2,mixed,4,711.0,100,50,30,1,29,21,0.65
sponge_gourd,patola,wet,30.2,86.0,5.9,61.1,organic,3,391.1,64,72,27,1,26,14,0.613
squash,kalabasa,wet,29.5,83.9,5.8,62.3,organic,3,352.5,58,16,6,1,5,3,0.549
sponge_gourd,patola_ridged,dry,33.2,57.5,7.1,50.2,organic,5,470.3,80,31,12,0,12,6,0.631
squash,kalabasa,dry,33.2,67.7,7.9,66.7,none,3,373.1,57,50,19,1,18,4,0.342
sponge_gourd,patola_ridged,dry,28.9,59.2,8.4,61.8,none,3,368.8,58,20,8,1,4,0,0.407
bitter_gourd,ampalaya_bilog,dry,30.9,55.2,7.0,78.3,chemical,3,275.0,49,30,11,1,7,3,0.445
squash,kalabasa,wet,27.1,75.8,6.7,70.0,mixed,4,376.6,58,28,11,0,7,4,0.515
sponge_gourd,patola,dry,24.6,68.1,9.1,67.2,mixed,3,189.6,38,14,5,0,3,0,0.487
squash,kalabasa_hybrid,wet,31.6,88.5,6.9,53.5,mixed,4,883.2,100,86,26,1,25,12,0.513
cucumber,pipino_native,dry,27.8,70.9,9.5,55.9,chemical,2,117.4,15,7,4,1,4,0,0.465
bitter_gourd,ampalaya_bilog,wet,31.9,78.9,5.1,76.9,none,3,356.1,58,30,9,1,5,4,0.382
bottle_gourd,upo_long,wet,26.3,81.2,4.6,77.4,mixed,4,565.7,100,43,17,0,17,8,0.504
squash,kalabasa_native,wet,31.2,70.4,4.8,79.5,mixed,5,1107.6,100,92,25,0,23,13,0.529
bottle_gourd,upo_long,dry,25.9,64.7,9.6,62.7,chemical,4,527.7,88,43,19,0,18,8,0.395
bitter_gourd,ampalaya_oblong,dry,24.9,74.7,7.7,60.6,chemical,4,262.7,45,24,9,0,7,4,0.572
squash,kalabasa_hybrid,dry,33.3,56.8,9.0,75.3,chemical,3,599.0,100,65,21,0,17,6,0.441
bitter_gourd,ampalaya_bilog,wet,31.4,76.4,5.3,71.4,organic,3,494.0,93,87,25,1,25,15,0.69
squash,kalabasa,wet,29.5,70.7,4.1,62.9,none,4,792.5,100,80,20,1,20,7,0.417
sponge_gourd,patola_smooth,dry,31.5,71.6,8.1,71.6,organic,4,390.7,62,51,22,1,18,10,0.631
cucumber,pipino_japanese,wet,28.4,89.5,5.8,60.5,none,3,261.7,50,8,5,0,3,3,0.323
squash,kalabasa,wet,28.3,88.7,4.1,70.9,none,3,664.5,100,48,18,0,18,4,0.301
bitter_gourd,ampalaya_bilog,wet,27.8,78.1,5.2,74.9,mixed,4,299.9,50,52,17,0,15,9,0.638
cucumber,pipino_native,wet,26.1,86.3,6.9,58.2,mixed,5,253.4,38,8,5,1,3,3,0.641
bottle_gourd,upo_smooth,wet,29.9,73.1,5.9,74.1,mixed,4,481.6,72,30,14,0,10,8,0.593
squash,kalabasa_native,wet,27.5,89.7,4.2,54.1,mixed,4,639.4,100,55,17,0,17,8,0.57
sponge_gourd,patola,dry,31.2,56.8,9.2,62.8,organic,4,397.0,67,33,12,1,9,4,0.556
sponge_gourd,patola_smooth,dry,24.5,73.1,9.2,60.8,chemical,3,369.0,59,52,18,0,14,5,0.38
bottle_gourd,upo_round,wet,26.8,70.1,5.9,67.6,none,3,529.9,97,44,20,1,16,8,0.509
cucumber,pipino,dry,31.3,70.7,8.3,54.4,chemical,3,297.0,47,20,11,1,10,3,0.473
sponge_gourd,patola,wet,27.8,85.2,4.6,69.2,none,3,428.9,72,41,18,1,18,10,0.518
bitter_gourd,ampalaya_hybrid,wet,31.2,90.0,6.2,78.7,organic,5,325.0,56,36,9,0,5,1,0.527
bitter_gourd,ampalaya_hybrid,dry,30.9,66.7,7.3,76.8,chemical,3,363.9,54,69,24,0,20,9,0.437
cucumber,pipino_native,dry,32.9,57.8,7.4,67.2,chemical,4,235.5,43,36,21,1,20,10,0.512
sponge_gourd,patola,wet,27.2,86.7,4.2,74.7,chemical,4,721.0,100,64,30,0,27,13,0.389
cucumber,pipino_native,dry,27.3,68.5,8.3,58.9,none,2,174.0,19,27,14,1,12,3,0.414
sponge_gourd,patola_ridged,wet,30.6,83.5,4.3,78.4,chemical,4,668.7,100,74,30,1,28,19,0.632
bottle_gourd,upo_smooth,wet,29.0,83.0,5.3,58.8,none,3,504.3,79,50,15,0,15,7,0.401
bitter_gourd,ampalaya_bilog,dry,25.5,62.4,9.4,71.3,none,3,268.7,52,12,4,1,1,0,0.468
squash,kalabasa_native,wet,28.3,81.7,5.1,58.1,none,3,267.8,45,3,1,0,1,1,0.423
bitter_gourd,ampalaya_oblong,wet,26.8,78.5,6.9,66.6,none,4,483.3,83,39,14,1,14,6,0.49
bottle_gourd,upo_round,dry,27.1,60.2,10.0,68.4,organic,3,400.6,67,55,16,0,13,5,0.481
bitter_gourd,ampalaya_oblong,wet,29.4,84.3,4.0,67.0,mixed,4,444.5,76,70,20,1,18,10,0.618
cucumber,pipino,dry,28.2,66.2,7.5,50.7,none,3,169.3,23,30,13,1,12,3,0.401
bitter_gourd,ampalaya_bilog,dry,27.0,71.1,7.3,69.4,none,3,373.3,61,86,24,1,22,7,0.407
squash,kalabasa,dry,26.2,59.1,9.1,78.7,chemical,3,318.2,51,4,1,1,1,0,0.386
cucumber,pipino,dry,26.3,64.4,8.6,52.8,organic,5,365.4,65,36,17,0,15,10,0.595
sponge_gourd,patola_smooth,wet,31.7,82.2,4.7,61.2,mixed,4,601.6,100,46,16,1,16,10,0.52
cucumber,pipino,dry,29.2,74.3,8.7,59.3,chemical,4,468.8,83,52,24,0,22,9,0.459
cucumber,pipino_native,dry,28.6,57.9,7.7,59.6,organic,4,363.8,62,25,15,1,13,6,0.63
bottle_gourd,upo_round,dry,26.8,68.3,8.9,78.1,mixed,5,948.6,100,71,30,0,29,21,0.673
bottle_gourd,upo_round,wet,28.6,88.1,4.5,77.7,mixed,2,230.9,40,22,8,0,7,3,0.406
bitter_gourd,ampalaya_hybrid,wet,31.8,84.3,4.9,67.2,none,4,464.3,75,82,30,1,29,10,0.408
cucumber,pipino_native,wet,31.7,86.9,5.4,69.9,mixed,3,398.7,65,65,29,0,28,13,0.476
squash,kalabasa_native,wet,30.6,72.0,4.4,72.7,organic,4,676.9,100,58,18,1,16,10,0.648
bitter_gourd,ampalaya_bilog,dry,30.2,66.4,9.3,65.7,organic,4,376.5,56,41,11,1,7,3,0.669
cucumber,pipino_native,dry,34.7,57.4,7.7,71.8,chemical,4,188.1,29,10,5,0,4,1,0.396
sponge_gourd,patola,dry,28.4,73.3,8.3,70.4,mixed,4,544.0,96,42,20,1,19,14,0.61
bitter_gourd,ampalaya_oblong,dry,31.9,68.8,7.8,58.3,organic,5,362.9,72,7,2,0,1,1,0.559
cucumber,pipino,wet,31.1,72.0,5.3,75.4,none,4,555.9,91,70,30,1,27,13,0.507
cucumber,pipino_japanese,dry,34.4,62.8,7.2,56.8,chemical,2,174.9,31,14,9,1,7,5,0.469
bitter_gourd,ampalaya_bilog,dry,29.3,69.3,7.9,58.2,chemical,3,199.6,34,14,4,0,4,4,0.411
bitter_gourd,ampalaya_oblong,wet,27.3,86.7,4.3,64.6,mixed,4,531.9,90,104,30,1,28,14,0.534
bottle_gourd,upo_long,dry,24.6,73.6,7.7,54.8,organic,3,542.8,86,59,19,1,15,8,0.607
bitter_gourd,ampalaya_bilog,dry,28.5,68.4,7.7,56.9,none,4,684.2,100,81,27,1,24,13,0.471
sponge_gourd,patola,wet,30.4,75.3,4.5,50.4,organic,4,246.9,39,23,8,0,4,3,0.64
bottle_gourd,upo_smooth,dry,25.6,70.8,7.0,53.7,none,4,542.8,98,49,24,0,23,6,0.368
bottle_gourd,upo_round,wet,29.9,83.0,6.0,54.9,none,4,443.0,80,25,9,0,7,4,0.427
cucumber,pipino,dry,26.9,66.9,9.8,75.1,organic,3,260.5,50,19,12,1,9,8,0.622
bottle_gourd,upo_smooth,wet,26.5,78.3,4.1,73.9,mixed,5,677.8,100,99,30,1,26,17,0.721
cucumber,pipino_japanese,dry,27.6,71.5,8.1,64.5,chemical,4,557.4,96,70,30,1,28,15,0.565
cucumber,pipino_native,dry,29.2,62.2,9.0,68.8,chemical,4,313.8,55,16,10,0,8,4,0.533
squash,kalabasa,wet,28.3,72.5,6.9,58.7,chemical,3,458.1,76,25,8,1,4,2,0.515
sponge_gourd,patola,wet,28.5,78.3,6.7,56.2,organic,3,317.1,43,17,8,0,8,6,0.443
cucumber,pipino,dry,29.9,74.5,9.8,53.7,organic,3,155.6,34,10,4,1,2,2,0.588
cucumber,pipino,dry,32.1,70.7,8.3,76.4,none,2,246.8,40,20,9,0,6,2,0.324
bitter_gourd,ampalaya_oblong,dry,33.5,69.9,8.7,63.4,chemical,4,451.6,67,25,9,1,6,1,0.543
bitter_gourd,ampalaya_bilog,dry,26.4,59.6,7.2,63.1,none,4,475.4,75,80,25,0,24,8,0.369
squash,kalabasa_native,dry,34.5,69.0,8.7,62.8,organic,5,368.8,49,45,12,1,12,6,0.674
sponge_gourd,patola,dry,29.1,55.1,9.5,68.6,mixed,4,833.0,100,78,30,0,28,12,0.472
cucumber,pipino_japanese,dry,24.7,62.4,7.7,69.0,mixed,4,209.8,32,33,14,1,11,6,0.574
bottle_gourd,upo_smooth,wet,27.4,84.0,4.7,59.0,organic,4,532.1,87,10,4,1,4,4,0.666
sponge_gourd,patola,dry,29.0,72.6,9.7,53.2,organic,4,325.3,54,29,14,0,12,10,0.63
bottle_gourd,upo_smooth,wet,30.4,70.9,4.4,75.7,none,4,956.6,100,85,30,1,30,15,0.467
bitter_gourd,ampalaya_bilog,dry,32.5,72.0,8.0,70.3,none,3,404.3,75,54,21,1,19,6,0.393
cucumber,pipino_japanese,wet,26.9,77.5,4.5,76.8,mixed,5,339.5,64,18,9,0,5,3,0.606
bitter_gourd,ampalaya_bilog,wet,31.1,88.8,6.6,78.9,mixed,5,614.4,98,78,26,0,26,12,0.484
bitter_gourd,ampalaya_hybrid,dry,34.1,70.9,7.6,76.2,none,4,659.1,100,75,30,1,29,15,0.471
sponge_gourd,patola_ridged,dry,25.1,74.5,9.2,62.3,organic,3,167.8,29,5,2,1,2,2,0.533
sponge_gourd,patola,dry,31.9,59.1,10.0,58.1,mixed,3,284.4,50,36,13,1,9,3,0.535
bitter_gourd,ampalaya_bilog,dry,34.2,62.6,7.3,74.4,mixed,4,544.4,91,63,21,1,19,10,0.587
bottle_gourd,upo_long,wet,26.8,71.1,5.5,70.2,mixed,3,543.2,94,49,21,0,18,8,0.502
cucumber,pipino,dry,34.6,68.2,9.6,64.2,organic,5,352.8,52,27,15,0,15,6,0.551
cucumber,pipino_japanese,wet,29.1,84.9,6.5,75.7,none,4,507.5,85,60,27,1,27,13,0.525
bitter_gourd,ampalaya_bilog,dry,34.5,73.5,8.3,53.9,organic,4,240.8,41,16,6,1,4,4,0.584
bottle_gourd,upo_long,dry,29.7,58.7,9.6,77.4,chemical,4,561.4,85,74,29,1,25,13,0.516
bitter_gourd,ampalaya_bilog,wet,28.5,86.1,6.7,53.7,mixed,5,693.9,100,75,28,1,28,17,0.612
sponge_gourd,patola,wet,30.1,83.2,5.9,68.2,organic,3,558.0,98,55,25,0,23,10,0.531
bottle_gourd,upo_round,dry,30.0,63.0,8.6,77.2,organic,4,624.3,100,62,30,1,30,17,0.606
bitter_gourd,ampalaya_bilog,dry,34.8,70.5,7.2,62.5,mixed,3,339.3,61,37,12,0,10,6,0.461
sponge_gourd,patola,wet,29.5,76.3,6.4,73.1,chemical,3,236.4,32,20,10,1,7,4,0.57
bitter_gourd,ampalaya_hybrid,dry,28.6,68.5,9.7,64.9,mixed,5,689.7,100,62,24,1,21,15,0.71
bitter_gourd,ampalaya_hybrid,dry,24.3,72.6,9.2,58.9,chemical,4,607.9,98,110,30,1,27,14,0.445
cucumber,pipino_native,dry,27.8,60.5,9.7,68.3,mixed,4,398.3,57,36,18,1,17,10,0.617
cucumber,pipino_native,wet,28.6,86.0,6.9,69.8,organic,4,188.1,38,35,15,1,11,8,0.612
cucumber,pipino_native,dry,34.4,68.5,8.2,57.0,chemical,4,292.3,36,37,18,1,17,7,0.494
squash,kalabasa_hybrid,wet,29.0,70.8,5.7,77.9,mixed,5,1053.8,100,79,29,0,26,17,0.581
bitter_gourd,ampalaya_hybrid,dry,27.4,63.3,7.6,63.6,chemical,4,460.5,80,28,7,1,3,3,0.498
squash,kalabasa,dry,25.8,73.0,9.4,70.8,organic,4,598.2,100,47,17,0,17,8,0.543
sponge_gourd,patola,wet,26.5,72.9,4.9,66.9,chemical,3,210.7,27,8,3,0,2,2,0.477
bottle_gourd,upo_long,wet,26.9,78.5,4.2,65.7,none,3,602.6,100,36,13,1,10,8,0.552
squash,kalabasa_hybrid,dry,24.9,70.5,7.4,72.7,chemical,3,364.8,59,41,12,1,11,6,0.546
squash,kalabasa_native,wet,28.2,82.9,6.1,67.4,organic,4,846.6,100,41,16,0,15,9,0.544
squash,kalabasa_hybrid,wet,29.1,81.2,4.5,58.5,none,4,725.4,100,61,21,1,17,6,0.479
bottle_gourd,upo_long,wet,26.6,73.9,4.4,50.9,mixed,4,907.7,100,68,26,1,26,19,0.716
sponge_gourd,patola,wet,26.4,84.0,5.8,55.6,organic,3,180.5,29,4,2,1,2,0,0.594
bitter_gourd,ampalaya_oblong,wet,26.3,88.7,6.7,67.1,organic,5,356.5,64,40,14,0,10,7,0.548
cucumber,pipino_native,wet,29.7,75.7,6.7,63.6,mixed,4,177.0,29,22,9,0,7,4,0.457
cucumber,pipino,dry,30.6,58.8,7.7,74.0,organic,4,229.5,46,28,12,0,9,6,0.519
bitter_gourd,ampalaya_bilog,wet,31.7,74.8,5.2,56.4,none,4,712.4,100,106,30,1,28,15,0.519
bitter_gourd,ampalaya_hybrid,dry,25.4,67.8,9.4,67.8,organic,4,357.6,64,53,14,1,11,8,0.652
sponge_gourd,patola_ridged,dry,32.4,74.3,8.5,55.5,chemical,4,747.3,100,58,27,0,23,10,0.415
cucumber,pipino,wet,28.8,81.2,6.3,50.3,mixed,4,272.3,49,27,16,1,16,12,0.64
cucumber,pipino_native,dry,31.3,62.0,8.2,56.3,chemical,3,243.3,38,46,23,0,21,8,0.465
bottle_gourd,upo_smooth,wet,28.6,78.6,5.2,56.5,organic,4,695.6,100,61,30,0,29,17,0.535
cucumber,pipino_japanese,dry,33.5,59.8,7.8,55.6,organic,4,552.2,97,50,24,0,23,13,0.468
cucumber,pipino_japanese,dry,26.6,59.0,7.8,64.9,none,3,258.6,44,23,15,0,15,4,0.314
bitter_gourd,ampalaya_bilog,wet,31.2,77.1,4.6,66.1,chemical,4,417.1,68,40,12,0,9,3,0.484
bottle_gourd,upo_round,dry,31.2,63.3,9.3,64.2,chemical,4,427.2,65,20,10,1,10,7,0.532
bitter_gourd,ampalaya_hybrid,dry,32.4,63.4,9.9,67.7,none,4,385.3,60,37,13,1,13,6,0.437
bitter_gourd,ampalaya_hybrid,wet,26.4,86.5,6.2,78.0,mixed,4,262.7,48,21,6,0,4,4,0.525
bottle_gourd,upo_smooth,dry,26.5,69.2,7.9,55.9,mixed,3,317.0,52,12,4,1,2,0,0.555
cucumber,pipino,wet,28.7,73.2,6.3,65.5,mixed,4,275.9,40,27,14,0,12,8,0.547
bitter_gourd,ampalaya_bilog,wet,30.9,78.3,5.2,53.4,chemical,4,415.0,75,72,18,1,15,10,0.531
sponge_gourd,patola_smooth,wet,28.4,77.6,4.9,67.4,chemical,4,660.2,100,73,25,0,25,13,0.49
squash,kalabasa,dry,27.6,71.9,8.2,52.0,organic,4,559.3,99,66,22,0,19,10,0.573
sponge_gourd,patola_smooth,dry,28.0,73.2,7.0,67.6,organic,4,515.7,75,68,30,0,30,20,0.636
bitter_gourd,ampalaya_bilog,wet,29.3,70.6,6.8,75.3,organic,5,456.6,66,69,18,1,16,13,0.74
cucumber,pipino_japanese,wet,30.8,76.4,6.3,79.6,chemical,4,466.9,74,34,20,1,17,8,0.533
cucumber,pipino,dry,33.7,67.7,7.9,52.8,organic,5,531.4,94,46,30,0,27,17,0.592
bitter_gourd,ampalaya_bilog,dry,34.0,56.3,7.4,68.9,none,4,582.7,100,102,26,1,25,11,0.436
bitter_gourd,ampalaya_bilog,dry,26.1,63.8,8.0,61.9,chemical,3,218.6,35,18,5,0,5,1,0.431
bottle_gourd,upo_round,wet,26.4,87.1,5.0,51.7,none,3,348.8,57,15,6,1,3,3,0.409
bitter_gourd,ampalaya_oblong,wet,26.1,80.1,4.9,61.4,mixed,3,229.6,34,37,13,1,13,7,0.465
bottle_gourd,upo_long,wet,28.6,76.1,6.1,56.2,none,4,768.7,100,44,20,1,16,8,0.394
squash,kalabasa,wet,27.4,82.8,5.7,56.4,mixed,4,469.8,79,30,10,0,6,3,0.452
squash,kalabasa,dry,33.9,64.9,8.0,65.8,organic,4,490.6,91,21,7,1,3,0,0.586
squash,kalabasa,dry,28.7,74.7,9.2,57.7,chemical,3,754.2,100,71,26,1,26,16,0.532
bottle_gourd,upo_smooth,wet,31.7,75.5,6.6,76.3,organic,4,977.0,100,68,30,1,29,16,0.553
squash,kalabasa_native,wet,28.6,79.2,4.9,59.1,mixed,4,308.1,53,6,2,1,2,0,0.669
cucumber,pipino_native,wet,31.2,88.9,6.3,64.9,mixed,4,174.4,30,2,1,1,1,1,0.541
cucumber,pipino,wet,27.8,80.3,5.1,57.4,none,3,262.0,43,38,19,0,18,9,0.37
bottle_gourd,upo_long,wet,31.7,86.5,5.1,61.0,none,3,545.9,90,45,18,0,18,3,0.3
cucumber,pipino_japanese,wet,27.2,78.1,5.6,59.1,chemical,3,264.4,50,40,22,1,22,10,0.488
sponge_gourd,patola_ridged,dry,26.7,69.4,7.2,63.5,mixed,4,260.9,42,30,14,0,10,2,0.437
sponge_gourd,patola_smooth,dry,32.7,72.9,9.8,75.6,organic,4,672.2,100,82,30,1,28,20,0.655
sponge_gourd,patola_ridged,wet,27.9,87.1,6.6,66.0,organic,4,498.2,96,29,13,1,10,7,0.638
squash,kalabasa_native,wet,27.9,71.9,5.0,59.4,organic,5,470.9,83,26,7,0,4,1,0.598
squash,kalabasa_native,dry,34.0,55.0,9.0,72.3,chemical,4,293.4,45,11,4,1,2,0,0.427
squash,kalabasa_native,wet,30.2,75.7,4.6,64.4,chemical,3,551.3,89,25,10,0,10,5,0.406
squash,kalabasa_hybrid,dry,32.3,62.1,7.1,73.0,none,3,364.6,52,6,2,0,1,0,0.3
bitter_gourd,ampalaya_oblong,dry,32.2,64.0,9.5,59.4,organic,4,540.2,85,110,30,0,27,11,0.467
squash,kalabasa_native,wet,29.8,83.7,5.7,55.2,mixed,5,663.2,100,22,8,0,5,1,0.54
bottle_gourd,upo_long,dry,34.7,69.5,8.9,51.3,mixed,3,408.5,68,22,10,0,8,2,0.441
bitter_gourd,ampalaya_bilog,wet,29.8,77.7,5.0,73.8,none,4,550.9,90,96,30,0,29,11,0.397
squash,kalabasa_native,dry,28.0,72.1,8.9,53.4,chemical,4,505.6,85,62,20,1,17,13,0.635
squash,kalabasa,dry,34.2,63.4,9.6,63.0,none,3,885.7,100,65,23,1,23,9,0.428
bitter_gourd,ampalaya_bilog,wet,28.4,84.2,5.5,64.9,mixed,3,299.6,47,56,19,1,16,11,0.567
sponge_gourd,patola_smooth,wet,30.3,82.2,4.4,50.9,none,4,686.3,100,51,24,1,21,9,0.402
squash,kalabasa_hybrid,wet,31.6,78.8,5.8,76.6,mixed,4,620.6,100,43,11,0,9,3,0.563
cucumber,pipino_native,wet,31.5,87.1,5.8,54.6,organic,4,446.9,76,66,30,1,26,16,0.613
sponge_gourd,patola_ridged,dry,28.6,73.4,8.5,55.0,none,3,270.3,43,17,7,1,3,3,0.406
cucumber,pipino_native,wet,29.1,77.4,6.9,77.3,mixed,4,137.2,21,11,5,0,4,3,0.568
sponge_gourd,patola_smooth,dry,27.2,74.5,7.9,74.6,organic,4,330.0,54,48,17,0,14,10,0.644
