plant_type,plant_age,temperature,humidity,sunlight_hours,soil_ph,soil_type,watering_frequency,fertilizer_type,fertilizer_frequency,pest_control,height,leaf_count,stem_thickness,health_rating,male_flowers,female_flowers
upo_smooth,57,20.4,64.6,6.7,5.2,loamy,2,organic,1,none,169.0,50,21.4,2,26,8
cucumber,34,30.3,70.7,7.0,6.8,sandy,3,organic,3,as-needed,172.9,42,22.1,3,28,19
upo_smooth,56,27.9,70.8,5.4,6.2,sandy,5,organic,4,regular,429.1,64,19.5,4,42,23
upo_smooth,32,27.5,73.2,7.7,6.3,loamy,6,organic,3,none,416.3,64,12.9,3,28,17
ampalaya_bilog,48,26.1,83.2,9.5,6.1,clay,5,organic,3,none,138.4,62,19.2,3,18,9
cucumber,45,35.8,75.4,11.8,6.8,silty,4,chemical,3,regular,268.8,78,11.6,4,26,10
upo_smooth,52,25.4,71.9,7.2,6.7,loamy,3,organic,2,regular,133.6,19,7.1,4,51,25
ampalaya_bilog,30,29.8,54.0,7.2,6.4,loamy,7,none,3,as-needed,293.7,19,16.6,5,27,8
kalabasa,49,29.1,86.9,6.1,6.0,loamy,4,mixed,4,as-needed,529.6,70,6.9,3,23,7
ampalaya_bilog,64,26.8,54.0,7.3,7.2,clay,5,organic,2,none,286.0,55,15.1,3,31,13
kalabasa,57,22.9,66.6,7.0,6.1,loamy,5,chemical,3,intensive,160.5,59,10.7,3,23,10
ampalaya_bilog,52,23.7,67.1,11.7,6.4,loamy,4,mixed,1,as-needed,206.5,43,14.4,2,15,6
kalabasa,39,20.1,76.3,8.0,7.5,loamy,4,organic,3,as-needed,134.6,29,18.3,2,26,5
ampalaya_bilog,36,27.5,74.7,6.5,6.1,loamy,3,mixed,3,regular,123.9,11,20.9,4,32,22
upo_smooth,92,36.8,71.9,7.9,6.0,loamy,3,organic,4,intensive,422.2,78,5.3,4,34,10
ampalaya_bilog,55,17.4,43.1,11.2,6.5,loamy,6,organic,2,as-needed,116.5,39,11.3,1,7,1
kalabasa,43,26.4,72.0,7.0,6.7,sandy,5,organic,2,intensive,302.6,54,12.4,4,48,18
kalabasa,59,31.3,73.7,6.6,6.8,clay,4,organic,2,none,318.5,33,14.5,3,25,13
upo_smooth,72,26.9,43.5,7.6,7.5,sandy,4,chemical,2,intensive,317.4,40,23.5,1,26,5
patola,67,27.1,76.2,8.8,6.5,loamy,5,mixed,4,none,111.3,46,13.3,3,24,9
cucumber,40,32.2,60.9,6.2,6.2,clay,6,chemical,2,regular,247.9,61,23.1,4,40,24
kalabasa,64,38.4,66.0,6.8,6.6,sandy,4,chemical,1,regular,225.0,57,6.5,4,23,1
kalabasa,48,33.1,86.7,11.7,6.3,loamy,3,organic,2,regular,510.3,29,6.4,3,25,8
patola,51,31.0,69.8,10.6,6.1,sandy,5,organic,4,as-needed,379.0,61,21.2,3,22,6
cucumber,53,16.4,66.8,7.6,6.0,silty,5,mixed,2,as-needed,216.9,25,7.1,2,17,9
kalabasa,32,18.6,53.6,11.5,6.7,loamy,6,mixed,0,none,516.0,49,10.7,2,6,4
ampalaya_bilog,53,24.2,74.9,5.3,6.7,loamy,5,organic,2,regular,148.2,28,12.5,1,7,3
ampalaya_bilog,53,27.2,62.9,7.2,6.2,loamy,4,chemical,2,regular,277.6,59,13.9,5,48,27
ampalaya_bilog,45,27.6,73.6,7.2,6.6,loamy,4,organic,0,none,316.2,78,6.9,3,38,13
cucumber,42,25.8,74.8,10.7,6.3,clay,6,chemical,0,none,271.2,47,17.9,5,27,15
cucumber,59,23.5,68.8,7.1,6.8,loamy,6,organic,1,as-needed,225.4,67,24.6,5,47,16
kalabasa,51,30.9,64.1,6.2,7.8,silty,4,mixed,1,intensive,460.8,56,21.8,4,45,10
cucumber,56,28.8,76.3,6.6,6.5,loamy,5,organic,0,regular,257.7,22,23.7,2,21,13
patola,65,26.0,74.4,4.6,6.6,silty,2,chemical,3,regular,304.8,19,5.0,2,8,3
kalabasa,48,28.4,72.0,8.4,6.8,silty,5,mixed,2,as-needed,547.8,71,7.3,4,35,12
kalabasa,29,25.7,73.1,6.8,5.2,clay,3,chemical,2,regular,367.7,76,7.0,4,29,10
patola,51,28.2,68.4,6.8,6.0,silty,7,mixed,1,as-needed,378.1,32,7.8,3,23,13
patola,36,27.7,79.5,6.3,6.3,loamy,4,mixed,3,regular,221.8,71,6.9,2,17,10
upo_smooth,93,24.3,79.4,6.8,6.6,loamy,4,chemical,2,none,282.4,61,24.5,1,1,12
cucumber,47,36.6,60.1,6.9,6.2,silty,3,none,4,as-needed,159.7,32,8.0,4,20,8
upo_smooth,61,25.3,77.8,6.6,6.8,loamy,2,organic,3,as-needed,307.0,51,10.9,2,23,11
ampalaya_bilog,60,26.1,85.4,11.3,6.5,sandy,4,chemical,2,none,223.6,69,20.9,2,8,8
upo_smooth,67,25.9,78.9,5.3,6.1,sandy,2,chemical,3,intensive,205.6,18,13.1,2,33,5
patola,27,26.8,63.6,7.6,6.3,loamy,3,organic,2,none,136.7,68,24.4,3,17,9
patola,55,26.9,68.8,6.0,6.7,silty,2,mixed,2,regular,370.8,25,16.8,5,36,18
kalabasa,43,30.3,71.7,7.7,6.2,loamy,3,chemical,0,intensive,467.4,10,16.8,4,36,15
kalabasa,61,22.4,72.0,9.9,5.7,loamy,5,chemical,2,as-needed,232.5,37,13.8,4,25,14
cucumber,40,24.5,76.0,7.7,6.6,loamy,5,organic,3,as-needed,208.7,40,23.1,3,29,21
ampalaya_bilog,60,25.9,67.1,6.2,6.8,clay,5,organic,3,regular,129.0,73,21.5,5,48,26
patola,46,23.1,82.9,7.1,6.2,loamy,3,none,1,as-needed,179.5,15,11.8,3,14,7
cucumber,24,23.3,78.9,6.9,6.3,loamy,5,chemical,1,regular,157.4,50,20.5,3,27,17
patola,94,26.5,65.3,9.7,7.2,loamy,5,chemical,2,as-needed,186.3,27,16.5,2,6,5
cucumber,44,25.5,69.4,6.1,6.6,silty,2,none,1,regular,79.9,75,20.0,4,38,16
kalabasa,23,28.9,72.3,7.3,5.9,loamy,4,mixed,2,regular,509.8,58,7.3,3,24,12
upo_smooth,98,24.8,69.2,7.1,5.2,loamy,4,chemical,2,intensive,394.6,44,15.0,4,40,17
ampalaya_bilog,56,33.4,56.3,10.0,6.1,loamy,2,chemical,3,as-needed,95.0,15,24.4,3,26,13
ampalaya_bilog,20,33.1,44.8,7.9,6.6,loamy,6,organic,1,regular,172.3,17,16.4,4,13,9
ampalaya_bilog,96,37.2,70.6,5.2,6.5,loamy,5,organic,2,none,189.3,62,18.9,5,16,1
upo_smooth,67,21.0,71.9,7.5,8.0,clay,2,mixed,3,none,334.6,55,9.4,4,42,12
patola,32,31.1,44.0,7.9,6.8,loamy,3,none,2,as-needed,267.8,35,9.6,4,7,1
ampalaya_bilog,47,28.2,66.4,8.0,5.7,loamy,6,organic,1,none,209.8,65,18.1,3,30,11
patola,86,30.1,47.5,7.0,7.3,loamy,6,chemical,0,regular,207.8,48,6.8,4,13,6
patola,61,34.6,66.5,8.6,6.8,loamy,3,organic,2,none,176.0,10,16.2,3,21,7
cucumber,37,24.3,72.6,6.8,6.6,silty,4,none,2,regular,261.4,10,22.6,3,18,10
cucumber,38,37.9,44.9,6.9,6.2,loamy,4,organic,3,regular,238.2,70,13.7,3,23,12
cucumber,23,25.2,62.3,6.7,6.2,loamy,4,mixed,3,regular,232.1,11,7.2,3,33,17
kalabasa,55,28.5,67.2,6.1,6.8,loamy,4,chemical,2,none,212.1,56,16.9,3,24,9
upo_smooth,92,25.8,73.8,6.4,6.3,clay,5,none,2,as-needed,355.8,62,14.8,2,9,3
cucumber,85,22.7,72.4,5.1,6.3,loamy,4,organic,2,regular,169.7,71,24.0,5,31,13
upo_smooth,37,29.0,75.1,7.5,6.6,loamy,4,organic,1,as-needed,378.3,31,13.7,5,47,21
ampalaya_bilog,30,26.5,89.8,7.8,6.1,loamy,5,organic,2,as-needed,239.5,28,16.6,3,19,12
ampalaya_bilog,45,27.3,75.9,11.4,6.0,sandy,4,organic,3,none,244.8,53,9.7,3,19,9
kalabasa,25,30.4,72.1,11.2,6.3,loamy,4,chemical,3,as-needed,471.9,74,12.9,3,25,6
cucumber,46,23.7,71.4,8.0,6.0,sandy,3,chemical,0,regular,221.6,31,14.4,2,25,11
kalabasa,29,24.8,73.7,6.7,6.4,loamy,2,chemical,2,none,224.8,24,7.4,3,12,2
ampalaya_bilog,55,25.8,86.6,6.8,6.6,loamy,3,mixed,2,intensive,171.1,59,9.5,3,20,15
ampalaya_bilog,53,28.0,76.4,7.6,6.2,sandy,5,organic,2,none,152.3,12,22.6,3,24,13
upo_smooth,35,22.6,69.9,7.7,6.7,loamy,5,organic,2,intensive,189.1,66,10.7,1,16,4
ampalaya_bilog,49,29.3,80.2,8.0,6.0,loamy,3,chemical,3,as-needed,278.0,20,14.8,3,25,14
kalabasa,34,26.6,42.2,6.2,5.3,loamy,3,chemical,1,regular,200.4,40,16.0,5,32,5
patola,41,26.7,72.3,7.6,6.3,sandy,3,organic,4,regular,254.9,60,8.0,2,20,11
cucumber,93,22.4,63.7,7.3,6.5,clay,6,chemical,2,as-needed,182.0,23,17.4,3,23,9
ampalaya_bilog,51,25.6,92.8,7.6,6.3,loamy,4,chemical,2,as-needed,317.7,21,24.3,1,1,3
ampalaya_bilog,22,35.6,62.4,7.0,5.2,clay,3,chemical,4,intensive,156.7,69,5.0,1,1,6
upo_smooth,64,26.9,64.4,6.5,5.8,sandy,5,organic,3,none,133.8,72,7.5,1,18,6
upo_smooth,33,23.9,51.6,7.2,6.2,clay,4,organic,4,as-needed,375.5,23,13.5,3,52,14
patola,82,17.6,75.5,11.8,6.3,loamy,4,chemical,2,as-needed,332.1,14,21.7,3,1,4
kalabasa,33,30.3,76.1,11.7,6.4,clay,6,mixed,2,regular,202.7,20,19.3,5,35,17
ampalaya_bilog,86,26.4,79.5,7.9,6.2,loamy,6,mixed,2,intensive,92.8,30,17.5,3,20,8
ampalaya_bilog,43,20.3,79.1,10.9,5.2,sandy,2,mixed,0,as-needed,114.9,30,6.8,4,31,5
ampalaya_bilog,49,27.4,70.4,8.0,6.7,silty,6,chemical,3,none,242.4,25,7.3,5,23,17
upo_smooth,59,39.4,63.4,6.5,6.5,clay,4,organic,2,as-needed,348.8,28,14.0,5,37,18
kalabasa,52,37.0,68.8,11.7,6.1,sandy,3,organic,2,regular,221.4,20,18.8,2,9,1
upo_smooth,97,34.3,67.1,6.1,6.3,loamy,2,chemical,2,as-needed,255.5,46,8.2,2,27,3
upo_smooth,60,38.0,73.3,3.9,6.1,loamy,3,chemical,2,as-needed,186.4,63,23.7,2,13,1
upo_smooth,53,24.7,66.9,7.9,6.5,loamy,4,chemical,4,as-needed,420.0,74,10.1,3,41,28
kalabasa,54,30.4,61.8,4.4,5.9,clay,3,mixed,0,regular,360.3,29,16.9,4,40,14
ampalaya_bilog,97,29.5,79.9,4.6,6.3,clay,4,mixed,4,as-needed,224.2,54,23.7,3,12,13
patola,40,26.4,67.4,11.7,5.5,loamy,2,organic,3,as-needed,138.9,71,13.9,2,11,6
cucumber,34,34.6,75.7,6.8,5.3,clay,6,mixed,0,regular,214.9,38,15.6,3,25,13
patola,48,27.5,77.5,4.1,5.3,loamy,5,organic,4,regular,213.2,17,14.9,3,34,14
patola,34,19.0,52.1,6.3,6.3,loamy,4,mixed,0,regular,288.7,55,13.3,1,11,4
ampalaya_bilog,35,22.9,61.0,3.3,6.3,loamy,5,organic,4,as-needed,196.9,44,21.3,2,20,1
patola,25,17.7,74.0,7.7,6.5,loamy,5,organic,1,as-needed,120.2,21,13.5,2,1,1
upo_smooth,53,25.7,70.2,7.9,6.7,sandy,5,chemical,2,as-needed,376.0,29,22.4,5,60,29
upo_smooth,65,28.0,46.0,7.1,5.9,loamy,3,organic,0,regular,436.3,54,12.2,4,51,21
kalabasa,65,20.8,83.6,7.8,6.7,silty,3,chemical,2,none,456.4,65,8.8,1,6,4
ampalaya_bilog,40,28.4,74.1,6.4,6.1,sandy,3,organic,1,regular,252.8,51,8.0,2,24,15
patola,60,27.4,69.3,3.8,6.1,silty,5,organic,2,as-needed,213.9,12,22.6,3,15,7
kalabasa,38,37.5,56.8,10.0,7.7,silty,3,organic,2,intensive,172.4,34,19.0,4,22,5
patola,65,31.0,73.9,7.8,6.0,sandy,5,mixed,3,intensive,156.4,55,24.1,4,29,17
kalabasa,52,23.5,56.9,7.7,6.9,loamy,8,organic,3,as-needed,312.4,28,19.8,4,30,7
patola,40,28.3,79.8,6.3,7.8,silty,4,mixed,1,as-needed,286.4,21,24.8,3,23,7
cucumber,38,25.7,69.7,5.5,6.2,silty,5,organic,2,as-needed,142.6,19,21.5,5,49,26
kalabasa,46,24.1,77.0,7.6,6.4,loamy,4,organic,0,as-needed,125.6,40,18.2,2,13,9
cucumber,53,25.2,82.1,8.0,6.5,loamy,3,organic,3,as-needed,151.2,68,13.5,5,46,24
upo_smooth,60,26.0,74.1,8.7,7.1,clay,6,chemical,1,regular,407.9,54,10.5,2,26,15
upo_smooth,70,35.2,60.3,7.9,6.3,loamy,3,chemical,2,none,269.6,56,14.9,4,32,15
cucumber,57,30.4,71.4,7.0,6.5,loamy,4,mixed,2,as-needed,231.7,21,24.9,4,45,16
kalabasa,58,32.9,75.1,7.6,6.1,loamy,4,none,1,regular,353.0,27,23.9,3,19,6
kalabasa,36,21.3,59.6,8.0,6.5,loamy,6,mixed,1,regular,509.6,43,11.7,5,30,9
cucumber,27,25.2,82.2,6.2,6.2,sandy,6,organic,2,intensive,176.7,28,20.8,3,31,15
ampalaya_bilog,25,37.6,62.7,9.9,6.5,loamy,5,organic,4,as-needed,313.6,40,23.6,3,22,9
ampalaya_bilog,54,27.0,76.1,7.1,6.1,loamy,3,chemical,4,regular,108.4,34,16.0,3,32,16
cucumber,55,21.4,59.2,7.3,6.3,silty,5,mixed,1,intensive,211.1,78,17.1,2,23,13
cucumber,35,22.7,68.4,6.7,6.4,silty,4,organic,2,none,78.1,69,10.3,4,33,17
kalabasa,83,21.3,63.0,8.0,6.1,clay,5,mixed,3,as-needed,405.1,78,22.0,3,22,4
cucumber,42,23.0,61.5,7.6,6.1,sandy,2,organic,2,intensive,236.9,35,12.6,3,41,18
kalabasa,56,28.6,71.0,6.5,6.7,loamy,6,organic,1,intensive,413.1,68,18.1,2,32,9
cucumber,22,39.6,66.7,6.7,6.3,sandy,5,organic,2,regular,129.2,18,13.1,4,25,7
patola,50,23.3,63.2,6.1,6.5,silty,5,organic,2,regular,211.7,48,8.3,4,30,16
cucumber,53,20.3,69.2,7.5,5.0,clay,7,organic,1,as-needed,211.0,63,23.7,4,42,22
patola,68,38.9,78.7,6.6,7.2,loamy,7,none,2,regular,326.8,57,12.9,2,13,1
patola,36,38.2,63.4,6.2,6.8,sandy,6,mixed,2,as-needed,352.1,13,7.9,3,12,3
upo_smooth,54,27.9,67.4,6.1,6.3,loamy,8,mixed,2,none,359.5,33,12.8,2,31,10
cucumber,41,22.3,76.7,10.8,6.7,sandy,4,mixed,2,none,236.8,45,18.4,4,28,13
kalabasa,98,26.4,71.2,7.5,6.9,silty,3,chemical,2,intensive,161.4,60,16.7,3,20,6
kalabasa,60,39.1,51.4,6.9,6.3,loamy,4,chemical,2,regular,381.5,19,8.8,1,2,1
upo_smooth,109,38.6,68.8,7.3,5.3,loamy,6,organic,1,as-needed,337.3,52,18.8,3,19,11
ampalaya_bilog,43,27.6,75.5,9.2,6.7,sandy,4,organic,4,intensive,151.9,56,21.3,4,28,18
patola,72,29.4,65.2,5.6,6.7,loamy,5,organic,2,none,142.0,25,22.9,1,12,4
patola,59,28.0,65.8,8.6,6.4,loamy,5,mixed,2,as-needed,175.5,79,22.0,3,27,9
cucumber,38,20.6,76.5,4.7,6.2,clay,4,chemical,3,as-needed,236.4,28,18.2,3,31,14
ampalaya_bilog,45,17.5,63.8,9.7,6.3,loamy,4,chemical,0,regular,237.2,54,9.8,4,25,11
patola,45,27.4,74.5,10.5,6.9,silty,5,chemical,3,intensive,376.3,11,5.6,4,24,13
cucumber,50,19.9,61.1,11.0,5.7,sandy,5,organic,2,none,144.9,36,15.7,3,12,12
ampalaya_bilog,54,29.0,75.2,6.9,6.5,silty,6,none,2,regular,263.2,48,20.7,3,28,10
upo_smooth,46,38.2,71.6,3.1,6.2,silty,4,chemical,3,regular,325.6,75,24.6,5,23,11
ampalaya_bilog,99,19.3,68.2,7.3,6.1,loamy,3,organic,1,regular,139.5,37,22.9,3,3,7
cucumber,73,20.3,92.9,6.4,6.5,loamy,5,organic,2,none,256.6,72,9.1,4,23,16
upo_smooth,54,25.3,79.4,6.4,6.1,loamy,5,organic,4,as-needed,288.8,15,22.0,3,49,26
upo_smooth,57,25.5,68.1,6.3,6.9,loamy,3,mixed,2,as-needed,254.5,32,16.1,3,45,20
cucumber,65,38.3,61.8,7.7,6.1,clay,5,organic,3,regular,210.7,75,14.1,4,31,16
patola,59,29.1,60.8,7.7,6.5,loamy,4,organic,1,regular,195.4,53,15.7,5,45,15
cucumber,43,27.2,58.5,6.7,6.1,loamy,6,organic,0,regular,166.2,32,24.9,5,44,23
upo_smooth,32,24.6,71.9,6.5,6.4,loamy,2,organic,3,as-needed,149.6,51,16.0,4,39,26
patola,60,29.5,46.8,4.0,7.3,loamy,4,mixed,2,regular,108.8,15,19.8,3,18,5
cucumber,51,31.5,74.3,6.7,7.3,loamy,2,organic,2,none,211.6,25,9.4,4,32,9
ampalaya_bilog,58,28.8,72.5,7.4,6.3,loamy,5,organic,3,intensive,130.9,19,17.6,3,37,18
cucumber,45,25.5,92.9,7.7,6.3,silty,3,organic,2,as-needed,214.2,40,9.2,4,35,16
kalabasa,49,29.2,80.0,6.6,6.1,loamy,5,organic,2,as-needed,233.7,16,16.8,5,45,11
cucumber,28,26.1,61.5,7.9,6.0,loamy,4,chemical,2,none,218.7,68,9.1,2,20,13
ampalaya_bilog,71,25.0,78.4,6.2,6.1,sandy,5,mixed,4,regular,113.2,29,11.4,4,34,21
upo_smooth,44,34.3,74.7,7.3,6.4,loamy,6,organic,2,none,340.0,23,14.6,3,31,10
kalabasa,62,24.4,77.7,10.2,7.2,sandy,4,organic,1,as-needed,420.5,16,23.7,4,38,7
patola,63,27.0,65.3,7.5,7.1,loamy,3,mixed,2,regular,340.7,34,12.1,4,25,20
upo_smooth,88,37.5,62.7,11.2,6.7,clay,8,mixed,2,regular,270.8,26,9.8,3,21,6
ampalaya_bilog,28,28.5,66.3,7.6,6.3,loamy,6,organic,1,regular,288.2,17,9.8,2,14,2
patola,101,25.9,75.8,6.9,5.4,clay,5,chemical,1,none,376.0,66,13.0,3,15,10
cucumber,87,22.9,70.1,7.0,6.2,loamy,8,organic,3,none,79.3,58,14.1,5,25,13
cucumber,46,18.0,74.4,7.0,6.2,clay,5,organic,2,as-needed,156.8,68,13.7,5,38,13
cucumber,43,26.8,61.4,7.0,6.1,silty,3,chemical,2,as-needed,260.4,63,5.4,3,31,16
ampalaya_bilog,24,26.6,62.6,7.3,6.3,loamy,7,none,1,as-needed,320.3,54,16.1,4,23,5
upo_smooth,61,25.5,82.2,7.5,6.1,loamy,5,organic,1,intensive,359.3,34,20.3,4,45,22
ampalaya_bilog,31,38.0,79.0,7.2,6.4,silty,4,organic,1,regular,272.8,44,10.5,4,24,8
cucumber,21,39.2,69.4,8.0,6.2,silty,3,organic,3,as-needed,135.7,79,14.0,5,24,5
cucumber,26,23.5,73.8,6.2,6.1,clay,8,chemical,2,none,99.7,34,23.7,3,24,11
kalabasa,61,26.1,60.5,4.8,5.5,silty,5,none,1,as-needed,193.8,21,24.2,5,29,9
patola,63,21.6,74.7,6.2,6.2,sandy,4,none,2,regular,179.1,77,21.5,2,8,8
upo_smooth,62,27.7,66.8,7.7,7.9,sandy,5,chemical,1,intensive,270.9,20,19.2,4,48,26
ampalaya_bilog,85,15.7,77.1,7.4,6.1,clay,3,none,3,intensive,262.0,66,24.8,2,8,4
patola,52,26.2,72.4,6.4,6.9,silty,3,organic,2,as-needed,306.9,30,15.9,3,30,10
cucumber,33,20.4,93.3,5.4,6.1,loamy,3,mixed,1,as-needed,196.4,11,18.1,3,25,8
kalabasa,53,29.7,77.5,9.6,6.7,loamy,6,mixed,2,regular,384.6,21,19.8,5,45,14
cucumber,51,26.9,59.8,6.8,6.2,loamy,5,chemical,2,regular,169.7,22,16.6,3,29,17
ampalaya_bilog,52,28.6,72.6,7.4,7.9,clay,5,organic,1,as-needed,248.8,54,12.7,4,46,18
patola,26,34.1,74.0,6.6,6.1,clay,8,chemical,3,as-needed,336.5,73,21.8,4,17,10
kalabasa,60,25.6,68.5,6.2,6.7,clay,5,organic,0,none,288.6,56,11.2,3,25,8
cucumber,35,22.3,74.8,5.9,6.8,loamy,5,mixed,2,regular,257.4,47,11.2,3,38,22
patola,32,29.3,72.1,7.9,6.4,loamy,5,chemical,1,none,233.9,16,10.5,4,12,17
patola,50,27.1,53.2,7.2,6.7,clay,4,mixed,3,intensive,145.7,12,14.9,3,24,13
cucumber,26,31.1,77.4,10.9,6.1,loamy,4,organic,3,none,236.3,11,16.6,3,21,16
cucumber,37,22.0,66.2,6.3,6.1,clay,3,mixed,2,intensive,195.0,66,22.4,3,29,20
ampalaya_bilog,59,30.3,67.8,8.0,6.3,loamy,4,chemical,2,regular,169.0,38,22.3,3,28,8
cucumber,29,20.9,62.2,7.0,6.0,clay,6,organic,0,regular,196.7,64,15.8,3,35,16
ampalaya_bilog,53,39.4,79.1,7.5,5.1,clay,4,mixed,2,as-needed,258.0,74,6.8,5,27,15
cucumber,49,25.7,81.0,7.3,5.5,sandy,6,chemical,1,regular,239.2,19,19.3,3,17,13
patola,36,29.9,74.9,7.4,6.4,loamy,6,organic,2,regular,342.1,18,22.0,1,7,6
kalabasa,101,31.1,63.5,6.3,6.4,loamy,4,chemical,2,intensive,509.5,45,19.9,3,17,5
patola,61,28.8,61.6,6.9,5.9,silty,4,chemical,4,regular,295.2,27,18.4,3,23,12
kalabasa,43,16.9,68.4,10.4,6.2,loamy,4,organic,1,none,265.7,58,10.3,4,15,9
ampalaya_bilog,47,21.4,75.2,6.9,6.3,silty,6,mixed,1,regular,315.2,22,6.3,4,41,16
cucumber,27,27.1,79.7,8.6,6.4,silty,3,chemical,0,as-needed,205.1,64,22.1,2,16,6
upo_smooth,68,25.7,62.9,4.5,6.1,clay,3,organic,4,regular,187.2,29,23.4,3,34,30
upo_smooth,59,16.4,67.6,6.3,7.2,loamy,6,chemical,1,intensive,171.6,65,13.4,2,1,12
ampalaya_bilog,43,25.6,94.7,11.4,6.4,clay,2,organic,4,regular,100.6,13,23.1,5,22,10
kalabasa,100,20.0,75.5,4.9,5.8,loamy,2,organic,1,intensive,464.5,73,22.5,3,13,8
cucumber,46,15.0,65.6,8.7,6.1,clay,3,mixed,4,as-needed,222.0,79,24.1,4,20,14
upo_smooth,52,24.3,61.9,7.8,6.1,loamy,4,organic,0,regular,306.1,30,20.6,4,50,27
cucumber,72,20.1,67.9,7.5,7.5,loamy,6,organic,2,none,141.5,77,23.5,5,37,17
patola,56,27.5,74.5,4.5,6.8,loamy,7,organic,4,regular,358.7,55,8.1,2,13,8
patola,65,38.5,79.6,7.9,6.6,silty,3,organic,3,none,367.1,62,13.8,3,21,5
ampalaya_bilog,49,27.7,71.7,7.3,6.0,loamy,4,chemical,1,as-needed,135.5,18,11.2,5,42,21
patola,53,15.5,67.3,6.8,6.3,loamy,4,chemical,3,regular,300.2,33,11.6,3,15,5
ampalaya_bilog,45,29.0,68.1,7.2,7.9,loamy,7,none,1,none,274.7,32,21.8,4,25,12
cucumber,35,25.7,66.5,3.6,7.5,clay,4,none,1,as-needed,92.9,63,20.8,2,9,9
upo_smooth,51,25.1,72.9,7.0,6.6,loamy,7,mixed,4,regular,418.4,38,22.2,5,48,26
kalabasa,54,31.4,81.6,6.9,6.5,clay,6,organic,1,regular,476.6,51,24.9,5,35,16
ampalaya_bilog,55,27.9,72.4,7.3,5.3,loamy,4,none,2,none,217.5,37,17.3,4,32,11
cucumber,52,25.4,66.7,6.7,6.0,loamy,6,organic,1,none,76.0,48,21.8,2,22,10
cucumber,44,18.5,65.7,6.4,6.7,loamy,4,none,1,as-needed,157.3,19,14.6,4,12,6
ampalaya_bilog,51,36.9,61.2,6.9,6.3,loamy,8,organic,1,as-needed,100.2,49,15.9,3,23,9
patola,70,26.3,85.9,6.4,6.8,clay,7,mixed,3,regular,299.8,49,19.7,3,25,11
kalabasa,96,20.9,70.7,6.2,5.9,clay,6,chemical,2,as-needed,160.7,55,21.7,5,26,3
ampalaya_bilog,85,28.0,73.9,6.6,6.7,sandy,7,chemical,4,as-needed,261.8,43,17.5,3,21,9
ampalaya_bilog,27,27.8,93.7,6.8,7.4,sandy,3,organic,2,regular,165.4,15,14.3,4,22,9
kalabasa,53,25.4,77.9,6.3,6.4,clay,3,none,0,none,296.3,70,5.8,4,21,3
kalabasa,53,29.5,74.9,7.5,6.6,loamy,5,mixed,2,none,128.2,19,5.8,3,26,7
upo_smooth,74,38.4,84.6,6.1,6.1,loamy,5,organic,3,regular,416.3,32,5.4,4,35,8
upo_smooth,57,26.4,78.7,11.6,7.0,silty,3,mixed,2,intensive,430.8,23,21.6,2,25,12
patola,47,26.2,77.4,6.2,6.9,loamy,4,chemical,3,as-needed,317.8,41,9.3,3,13,18
upo_smooth,57,37.5,63.0,5.7,6.0,clay,5,chemical,1,as-needed,257.8,16,6.5,2,7,12
upo_smooth,34,19.7,50.5,5.4,5.5,loamy,2,chemical,3,as-needed,435.1,57,19.9,2,17,1
kalabasa,56,30.3,54.5,5.8,6.2,clay,2,organic,4,as-needed,322.2,62,6.1,4,33,8
kalabasa,60,32.6,75.4,7.0,6.8,loamy,4,mixed,0,as-needed,443.0,61,16.1,4,42,8
