gourd_type,variety_name,planting_date,days_since_planting,avg_temperature,avg_humidity,avg_rainfall_mm,soil_moisture,sunlight_hours,fertilizer_type,fertilizer_frequency,watering_frequency,soil_ph,plant_health_score,vine_length_cm,leaf_count,days_to_first_flower,male_flower_count,female_flower_count,pollinated_count,successful_pollinations,days_to_pollination_result,pollination_success_rate,days_to_fruit_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg,season,region_climate
sponge_gourd,patola,2025-08-10,48,27.5,77.5,15.5,71.0,6.8,mixed,weekly,daily,6.3,4,195.2,37,38,21,10,8,7,6,0.88,42,6,0.53,3.18,wet,tropical
cucumber,pipino,2025-08-15,38,26.8,70.2,11.0,64.0,7.5,organic,weekly,daily,6.7,5,148.5,29,31,33,17,14,13,5,0.93,34,12,0.32,3.84,wet,tropical
bitter_gourd,ampalaya_bilog,2025-09-01,52,26.5,72.8,10.5,66.0,7.2,organic,weekly,daily,6.4,4,198.3,36,36,20,9,7,6,6,0.86,45,5,0.37,1.85,dry,tropical
bottle_gourd,upo_long,2025-09-05,58,27.2,70.5,8.8,62.0,7.5,mixed,biweekly,daily,6.5,4,275.4,49,42,28,14,12,10,7,0.83,52,9,2.08,18.72,dry,tropical
sponge_gourd,patola,2025-09-10,45,26.8,74.2,9.5,65.0,7.0,organic,weekly,daily,6.2,4,185.6,35,39,19,9,7,6,6,0.86,43,5,0.50,2.5,dry,tropical
cucumber,pipino,2025-09-15,35,25.5,68.5,7.2,58.0,7.8,mixed,weekly,daily,6.6,4,138.2,27,32,29,15,12,10,5,0.83,35,9,0.30,2.7,dry,tropical
bitter_gourd,ampalaya_oblong,2025-10-01,48,25.0,70.0,6.5,60.0,7.5,chemical,biweekly,daily,6.3,4,182.5,33,37,18,8,6,5,7,0.83,46,4,0.40,1.6,dry,tropical
bottle_gourd,upo_smooth,2025-10-05,52,25.8,68.2,5.8,57.0,7.8,organic,weekly,daily,6.4,4,242.3,44,43,25,12,10,8,7,0.80,53,7,1.82,12.74,dry,tropical
sponge_gourd,patola,2025-10-10,42,25.2,71.5,6.2,61.0,7.2,mixed,biweekly,daily,6.3,4,175.4,32,40,17,8,6,5,6,0.83,44,4,0.48,1.92,dry,tropical
cucumber,pipino,2025-10-15,32,24.5,65.8,5.0,55.0,8.0,organic,weekly,daily,6.7,4,128.6,24,33,26,13,10,8,5,0.80,36,7,0.28,1.96,dry,tropical
bitter_gourd,ampalaya_bilog,2025-11-01,55,24.0,68.5,4.5,54.0,7.8,mixed,weekly,twice_daily,6.5,3,175.8,30,38,15,7,5,4,8,0.80,47,3,0.34,1.02,dry,tropical
bottle_gourd,upo_smooth,2025-11-05,60,24.5,65.8,4.0,52.0,8.0,organic,biweekly,twice_daily,6.4,3,225.6,40,44,22,10,8,6,8,0.75,54,5,1.75,8.75,dry,tropical
sponge_gourd,patola,2025-11-10,48,24.2,69.0,4.2,56.0,7.5,mixed,weekly,twice_daily,6.2,3,165.3,29,41,14,6,4,3,7,0.75,45,2,0.45,0.9,dry,tropical
cucumber,pipino,2025-11-15,35,23.5,63.5,3.5,50.0,8.2,chemical,biweekly,twice_daily,6.6,3,115.8,21,34,22,11,8,6,5,0.75,37,5,0.25,1.25,dry,tropical
bitter_gourd,ampalaya_bilog,2025-03-01,62,29.0,76.8,14.5,68.0,6.8,organic,weekly,daily,6.4,5,228.5,43,34,26,12,10,9,6,0.90,43,8,0.39,3.12,wet,tropical
bottle_gourd,upo_long,2025-03-05,68,29.5,74.5,13.0,66.0,7.0,mixed,weekly,daily,6.5,5,298.6,55,40,32,16,14,13,7,0.93,50,12,2.20,26.4,wet,tropical
sponge_gourd,patola,2025-03-10,58,28.5,78.0,15.8,70.0,6.6,organic,biweekly,daily,6.3,5,225.4,44,37,24,11,9,8,6,0.89,41,7,0.55,3.85,wet,tropical
cucumber,pipino,2025-03-12,52,27.2,70.2,10.5,62.0,7.5,mixed,weekly,daily,6.7,5,175.8,36,30,38,19,16,15,5,0.94,33,14,0.33,4.62,wet,tropical
bitter_gourd,ampalaya_oblong,2025-04-20,45,30.5,72.0,11.0,64.0,7.3,mixed,biweekly,daily,6.3,4,188.2,34,36,19,9,7,6,7,0.86,45,5,0.41,2.05,wet,tropical
bottle_gourd,upo_smooth,2025-04-25,50,29.8,70.8,9.8,61.0,7.6,organic,weekly,daily,6.5,4,248.5,45,42,27,13,11,9,7,0.82,52,8,1.88,15.04,wet,tropical
sponge_gourd,patola,2025-05-02,44,29.2,75.5,12.5,67.0,7.0,mixed,weekly,daily,6.2,4,188.6,36,39,20,9,7,6,6,0.86,43,5,0.51,2.55,wet,tropical
cucumber,pipino,2025-05-08,36,28.0,67.8,8.0,59.0,7.8,organic,biweekly,daily,6.6,4,142.3,28,32,30,15,12,10,5,0.83,35,9,0.30,2.7,wet,tropical
